day,post_type,timing,engagement_task
1,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
2,Myth bust,Post at 6-9 PM local,Reply to comments 20 min
3,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
4,Mini case study,Post at 6-9 PM local,Reply to comments 20 min
5,Checklist,Post at 6-9 PM local,Reply to comments 20 min
6,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
7,Myth bust,Post at 6-9 PM local,Reply to comments 20 min
8,Checklist,Post at 6-9 PM local,Reply to comments 20 min
9,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
10,Checklist,Post at 6-9 PM local,Reply to comments 20 min
11,Hook + quick tip,Post at 6-9 PM local,Reply to comments 20 min
12,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
13,Hook + quick tip,Post at 6-9 PM local,Reply to comments 20 min
14,Hook + quick tip,Post at 6-9 PM local,Reply to comments 20 min
15,Myth bust,Post at 6-9 PM local,Reply to comments 20 min
16,Mini case study,Post at 6-9 PM local,Reply to comments 20 min
17,Mini case study,Post at 6-9 PM local,Reply to comments 20 min
18,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
19,Checklist,Post at 6-9 PM local,Reply to comments 20 min
20,Checklist,Post at 6-9 PM local,Reply to comments 20 min
21,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
22,Checklist,Post at 6-9 PM local,Reply to comments 20 min
23,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
24,Myth bust,Post at 6-9 PM local,Reply to comments 20 min
25,Myth bust,Post at 6-9 PM local,Reply to comments 20 min
26,Problem/solution,Post at 6-9 PM local,Reply to comments 20 min
27,Checklist,Post at 6-9 PM local,Reply to comments 20 min
28,Myth bust,Post at 6-9 PM local,Reply to comments 20 min
29,Mini case study,Post at 6-9 PM local,Reply to comments 20 min
30,Myth bust,Post at 6-9 PM local,Reply to comments 20 min
