timestamp,game,draw_time,draw_date,result,single_hits,pale_hits,single_status,pale_status
2026-03-06T10:49:45,Gana Mas,Tarde,05-03-2026,44 93 62,93,,HIT,MISS
2026-03-06T10:49:45,Loteria Nacional,Noche,05-03-2026,84 61 55,,,MISS,MISS
2026-03-06T10:49:45,Quiniela Leidsa,Noche,05-03-2026,86 10 76,10,,HIT,MISS
2026-03-06T10:49:46,Quiniela Real,Noche,05-03-2026,23 82 36,,,MISS,MISS
2026-03-06T10:49:46,Quiniela Loteka,Noche,05-03-2026,92 52 03,03,,HIT,MISS
2026-03-06T10:49:46,La Primera Dia,Mediodia,05-03-2026,83 68 02,,,MISS,MISS
2026-03-06T10:49:46,La Primera Noche,Noche,05-03-2026,81 95 91,,,MISS,MISS
2026-03-06T10:49:46,La Suerte MD,Mediodia,05-03-2026,76 08 81,,,MISS,MISS
2026-03-06T10:49:46,La Suerte 6PM,6:00 PM,05-03-2026,11 13 07,,11-13,MISS,HIT
2026-03-06T10:49:46,Anguila 10:00 AM,10:00 AM,06-03-2026,58 45 38,,,MISS,MISS
2026-03-06T10:49:47,Anguila 1:00 PM,1:00 PM,05-03-2026,55 59 49,,49-55,MISS,HIT
2026-03-06T10:49:47,Anguila 6:00 PM,6:00 PM,05-03-2026,18 53 82,,,MISS,MISS
2026-03-06T10:49:47,Anguila 9:00 PM,9:00 PM,05-03-2026,29 98 06,,,MISS,MISS
