event_url,market_raw,market_type,selection,line,price,raw_text
https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Over & Out,total,,,+1000,+1000
https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Spread,spread,,,+700,+700
https://sportsbook.draftkings.com/event/phi-76ers-%2540-atl-hawks/33755071,Spread,spread,,,+100,+100
https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Over & Out,total,,,+2100,+2100
https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Spread,spread,.5,5,+10,+10.5
https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Spread,spread,,,+3000,+3000
https://sportsbook.draftkings.com/event/bkn-nets-%2540-det-pistons/33755072,Spread,spread,.5,5,-10,-10.5
https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Raining Threes,other_market,,,+240,+240
https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Spread,spread,.5,5,+10,+10.5
https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Spread,spread,,,+400,+400
https://sportsbook.draftkings.com/event/uta-jazz-%2540-mil-bucks/33755074,Spread,spread,.5,5,-10,-10.5
https://sportsbook.draftkings.com/event/la-clippers-%2540-mem-grizzlies/33755073,Raining Threes,other_market,,,+400,+400
https://sportsbook.draftkings.com/event/la-clippers-%2540-mem-grizzlies/33755073,Spread,spread,,,+175,+175
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,Home Heat + High Total,total,,,+106,+106
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,Defense Drives the Win,spread,OKC Thunder .5 Spread,5,-13,OKC Thunder -13.5 Spread
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,Covered + Cookin’ 👨‍🍳,total,,,+222,+222
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,🧊 Ice Cold on the Road,spread,GS Warriors .5 Spread,5,+13,GS Warriors +13.5 Spread
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,Spread,spread,.5,5,+12,+12.5
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,Spread,spread,,,+500,+500
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,Spread,spread,.5,5,-12,-12.5
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,1st Points Scorer,other_market,,,+385,+385
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,1st Points Scorer,other_market,,,+599,+599
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,1st Points Scorer,other_market,,,+650,+650
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,1st Points Scorer,other_market,,,+720,+720
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,1st Points Scorer,other_market,,,+860,+860
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,1st Points Scorer,other_market,,,+880,+880
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,1st Points Scorer,other_market,,,+900,+900
https://sportsbook.draftkings.com/event/gs-warriors-%2540-okc-thunder/33755075,1st Points Scorer,other_market,,,+1060,+1060
https://sportsbook.draftkings.com/event/bos-celtics-%2540-cle-cavaliers/33762021,Covered + Cookin’ 👨‍🍳,total,,,+262,+262
https://sportsbook.draftkings.com/event/bos-celtics-%2540-cle-cavaliers/33762021,Home Heat + High Total,total,,,+244,+244
https://sportsbook.draftkings.com/event/bos-celtics-%2540-cle-cavaliers/33762021,"Big Totals, Bold Finish 🧨",total,,,+134,+134
https://sportsbook.draftkings.com/event/bos-celtics-%2540-cle-cavaliers/33762021,Spread,spread,,,+100,+100
https://sportsbook.draftkings.com/event/ny-knicks-%2540-la-lakers/33762022,"Big Totals, Bold Finish 🧨",total,,,+180,+180
https://sportsbook.draftkings.com/event/ny-knicks-%2540-la-lakers/33762022,Home Heat + High Total,total,,,+360,+360
https://sportsbook.draftkings.com/event/ny-knicks-%2540-la-lakers/33762022,Covered + Cookin’ 👨‍🍳,total,,,+246,+246
https://sportsbook.draftkings.com/event/ny-knicks-%2540-la-lakers/33762022,Spread,spread,,,+145,+145
https://sportsbook.draftkings.com/event/dal-mavericks-%2540-tor-raptors/33762028,Home Heat + High Total,total,,,+112,+112
https://sportsbook.draftkings.com/event/dal-mavericks-%2540-tor-raptors/33762028,Covered + Cookin’ 👨‍🍳,total,,,+236,+236
https://sportsbook.draftkings.com/event/dal-mavericks-%2540-tor-raptors/33762028,Spread,spread,,,+320,+320
https://sportsbook.draftkings.com/event/was-wizards-%2540-no-pelicans/33762029,Covered + Cookin’ 👨‍🍳,total,,,+256,+256
https://sportsbook.draftkings.com/event/was-wizards-%2540-no-pelicans/33762029,Covered + Cookin’ 👨‍🍳,total,,,+238,+238
https://sportsbook.draftkings.com/event/was-wizards-%2540-no-pelicans/33762029,Home Heat + High Total,total,,,+136,+136
https://sportsbook.draftkings.com/event/was-wizards-%2540-no-pelicans/33762029,Spread,spread,,,+260,+260
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,Home Heat + High Total,total,,,+182,+182
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,Covered + Cookin’ 👨‍🍳,total,,,+256,+256
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,Spread,spread,,,+154,+154
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+496,+496
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+610,+610
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+640,+640
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+700,+700
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+720,+720
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+800,+800
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+850,+850
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+870,+870
https://sportsbook.draftkings.com/event/hou-rockets-%2540-sa-spurs/33762031,1st Points Scorer,other_market,,,+1000,+1000
https://sportsbook.draftkings.com/event/ind-pacers-%2540-por-trail-blazers/33762032,Covered + Cookin’ 👨‍🍳,total,,,+238,+238
https://sportsbook.draftkings.com/event/ind-pacers-%2540-por-trail-blazers/33762032,Home Heat + High Total,total,,,+128,+128
https://sportsbook.draftkings.com/event/ind-pacers-%2540-por-trail-blazers/33762032,Spread,spread,,,+260,+260
https://sportsbook.draftkings.com/event/chi-bulls-%2540-sac-kings/33762033,Home Heat + High Total,total,,,+345,+345
https://sportsbook.draftkings.com/event/chi-bulls-%2540-sac-kings/33762033,Covered + Cookin’ 👨‍🍳,total,,,+260,+260
https://sportsbook.draftkings.com/event/chi-bulls-%2540-sac-kings/33762033,Spread,spread,,,+142,+142
https://sportsbook.draftkings.com/event/cha-hornets-%2540-pho-suns/33762034,Home Heat + High Total,total,,,+305,+305
https://sportsbook.draftkings.com/event/cha-hornets-%2540-pho-suns/33762034,"Big Totals, Bold Finish 🧨",total,,,+196,+196
https://sportsbook.draftkings.com/event/cha-hornets-%2540-pho-suns/33762034,Covered + Cookin’ 👨‍🍳,total,,,+234,+234
https://sportsbook.draftkings.com/event/cha-hornets-%2540-pho-suns/33762034,Spread,spread,,,+136,+136
